日期,類型,分類,金額,帳戶,備註
2020-01-20,支出,餐飲 > 早餐,84,信用卡,燒餅油條
2020-01-20,支出,餐飲 > 午餐,90,信用卡,鐵板燒
2020-01-20,支出,餐飲 > 晚餐,176,信用卡,水餃
2020-01-20,支出,交通 > 公車/捷運,20,現金,公車
2020-01-21,支出,餐飲 > 晚餐,392,現金,自己煮
2020-01-21,支出,餐飲 > 飲料,107,信用卡,美式咖啡
2020-01-21,支出,購物 > 服飾,1060,信用卡,洋裝
2020-01-22,支出,餐飲 > 早餐,84,信用卡,豆漿店
2020-01-22,支出,餐飲 > 午餐,248,現金,牛肉麵
2020-01-22,支出,餐飲 > 晚餐,419,現金,自己煮
2020-01-22,支出,餐飲 > 飲料,135,現金,五十嵐
2020-01-22,支出,交通 > 公車/捷運,50,現金,捷運
2020-01-23,支出,餐飲 > 飲料,143,信用卡,手搖飲
2020-01-23,支出,交通 > 公車/捷運,30,現金,公車
2020-01-24,支出,餐飲 > 早餐,47,現金,三明治
2020-01-24,支出,餐飲 > 晚餐,385,信用卡,日本料理
2020-01-24,支出,餐飲 > 飲料,77,信用卡,手搖飲
2020-01-25,支出,餐飲 > 早餐,103,現金,豆漿店
2020-01-25,支出,餐飲 > 晚餐,179,信用卡,炒飯
2020-01-25,支出,購物 > 日用品,446,現金,衛生紙
2020-01-26,支出,餐飲 > 午餐,234,現金,定食
2020-01-26,支出,餐飲 > 晚餐,408,信用卡,涮涮鍋
2020-01-26,支出,餐飲 > 飲料,61,現金,綠茶
2020-01-26,支出,餐飲 > 點心,50,信用卡,雞蛋糕
2020-01-27,支出,餐飲 > 早餐,92,信用卡,7-11早餐
2020-01-27,支出,餐飲 > 午餐,181,信用卡,小吃店
2020-01-27,支出,餐飲 > 晚餐,121,信用卡,韓式料理
2020-01-27,支出,餐飲 > 飲料,60,信用卡,路易莎咖啡
2020-01-27,支出,餐飲 > 點心,66,信用卡,餅乾
2020-01-28,支出,餐飲 > 早餐,54,信用卡,全家早餐
2020-01-28,支出,餐飲 > 午餐,140,信用卡,自助餐
2020-01-28,支出,餐飲 > 晚餐,294,信用卡,熱炒
2020-01-28,支出,餐飲 > 飲料,162,現金,清心
2020-01-28,支出,交通 > 公車/捷運,25,現金,公車
2020-01-29,支出,餐飲 > 早餐,45,信用卡,全家早餐
2020-01-29,支出,餐飲 > 晚餐,482,現金,滷味
2020-01-29,支出,餐飲 > 點心,79,信用卡,可頌
2020-01-30,支出,餐飲 > 早餐,109,信用卡,美而美早餐
2020-01-30,支出,餐飲 > 午餐,219,信用卡,定食
2020-01-30,支出,餐飲 > 晚餐,478,信用卡,披薩
2020-01-30,支出,交通 > 公車/捷運,48,現金,悠遊卡儲值
2020-01-31,支出,餐飲 > 午餐,219,信用卡,滷肉飯
2020-01-31,支出,餐飲 > 晚餐,411,現金,泰式料理
2020-01-31,支出,餐飲 > 飲料,47,信用卡,綠茶
2020-01-31,支出,餐飲 > 點心,77,信用卡,鬆餅
2020-01-31,支出,購物 > 日用品,462,信用卡,垃圾袋
2020-02-01,支出,居住 > 房租/房貸,15383,銀行帳戶,每月房租
2020-02-01,支出,餐飲 > 早餐,101,信用卡,全家早餐
2020-02-01,支出,餐飲 > 午餐,100,信用卡,咖哩飯
2020-02-01,支出,餐飲 > 飲料,110,信用卡,星巴克
2020-02-01,支出,餐飲 > 點心,114,信用卡,可頌
2020-02-01,支出,購物 > 服飾,2087,信用卡,GU
2020-02-02,支出,餐飲 > 早餐,80,信用卡,豆漿店
2020-02-02,支出,餐飲 > 午餐,94,現金,雞腿飯
2020-02-02,支出,餐飲 > 晚餐,266,現金,火鍋
2020-02-02,支出,餐飲 > 飲料,147,現金,路易莎咖啡
2020-02-02,支出,餐飲 > 點心,129,信用卡,泡芙
2020-02-03,支出,餐飲 > 午餐,99,現金,義大利麵
2020-02-03,支出,餐飲 > 晚餐,240,信用卡,韓式料理
2020-02-03,支出,餐飲 > 點心,53,信用卡,紅豆餅
2020-02-03,支出,交通 > 公車/捷運,50,現金,悠遊卡儲值
2020-02-04,支出,居住 > 管理費,2103,銀行帳戶,社區管理費
2020-02-04,支出,餐飲 > 早餐,97,現金,全家早餐
2020-02-04,支出,餐飲 > 午餐,98,信用卡,麵店
2020-02-04,支出,餐飲 > 點心,117,信用卡,泡芙
2020-02-05,支出,餐飲 > 午餐,124,信用卡,義大利麵
2020-02-05,支出,餐飲 > 晚餐,182,現金,韓式料理
2020-02-05,支出,餐飲 > 點心,100,信用卡,雞蛋糕
2020-02-06,支出,餐飲 > 午餐,214,信用卡,鐵板燒
2020-02-06,支出,餐飲 > 晚餐,374,現金,日本料理
2020-02-06,支出,交通 > 公車/捷運,50,現金,公車
2020-02-06,支出,娛樂 > 旅遊,13180,信用卡,溫泉
2020-02-07,收入,薪資,50520,銀行帳戶,2020年2月薪資
2020-02-07,支出,餐飲 > 午餐,208,現金,定食
2020-02-07,支出,餐飲 > 晚餐,158,信用卡,日本料理
2020-02-07,支出,餐飲 > 飲料,92,信用卡,可不可
2020-02-08,支出,餐飲 > 早餐,103,現金,吐司
2020-02-08,支出,餐飲 > 午餐,231,現金,麵店
2020-02-08,支出,餐飲 > 晚餐,448,信用卡,涮涮鍋
2020-02-08,支出,餐飲 > 點心,140,現金,蛋糕
2020-02-08,支出,交通 > 計程車/Uber,428,信用卡,計程車
2020-02-08,支出,娛樂 > 遊戲,780,信用卡,Nintendo eShop
2020-02-09,支出,餐飲 > 早餐,115,信用卡,豆漿店
2020-02-09,支出,餐飲 > 午餐,183,信用卡,簡餐
2020-02-09,支出,餐飲 > 晚餐,110,現金,鹹酥雞
2020-02-10,收入,獎金,28528,銀行帳戶,專案獎金
2020-02-10,支出,餐飲 > 午餐,182,現金,鐵板燒
2020-02-10,支出,餐飲 > 晚餐,367,現金,自己煮
2020-02-10,支出,餐飲 > 飲料,66,信用卡,果汁
2020-02-10,支出,交通 > 公車/捷運,32,現金,捷運
2020-02-11,支出,餐飲 > 晚餐,177,現金,鹹酥雞
2020-02-11,支出,購物 > 日用品,339,信用卡,牙膏
2020-02-11,支出,購物 > 服飾,2136,信用卡,褲子
2020-02-11,支出,醫療 > 藥品,152,現金,腸胃藥
2020-02-12,支出,餐飲 > 早餐,109,信用卡,7-11早餐
2020-02-12,支出,餐飲 > 午餐,206,信用卡,滷肉飯
2020-02-12,支出,餐飲 > 晚餐,135,信用卡,日本料理
2020-02-13,支出,餐飲 > 早餐,44,信用卡,吐司
2020-02-13,支出,餐飲 > 午餐,220,信用卡,定食
2020-02-13,支出,餐飲 > 點心,42,信用卡,泡芙
2020-02-14,支出,餐飲 > 早餐,99,現金,7-11早餐
2020-02-14,支出,餐飲 > 午餐,165,信用卡,義大利麵
2020-02-14,支出,餐飲 > 晚餐,390,現金,自己煮
2020-02-14,支出,交通 > 公車/捷運,65,現金,公車
2020-02-15,支出,居住 > 水電費,1276,銀行帳戶,台電電費
2020-02-15,支出,餐飲 > 早餐,95,現金,三明治
2020-02-15,支出,餐飲 > 午餐,108,信用卡,咖哩飯
2020-02-15,支出,餐飲 > 晚餐,451,現金,水餃
2020-02-15,支出,購物 > 服飾,1397,信用卡,H&M
2020-02-16,支出,餐飲 > 早餐,56,信用卡,美而美早餐
2020-02-16,支出,餐飲 > 午餐,142,現金,咖哩飯
2020-02-16,支出,餐飲 > 飲料,39,信用卡,拿鐵
2020-02-17,支出,餐飲 > 早餐,42,現金,吐司
2020-02-17,支出,餐飲 > 午餐,163,信用卡,義大利麵
2020-02-17,支出,餐飲 > 晚餐,168,信用卡,夜市小吃
2020-02-17,支出,餐飲 > 飲料,125,信用卡,五十嵐
2020-02-18,支出,餐飲 > 午餐,205,信用卡,簡餐
2020-02-18,支出,餐飲 > 晚餐,487,信用卡,泰式料理
2020-02-18,支出,餐飲 > 飲料,174,信用卡,美式咖啡
2020-02-19,支出,餐飲 > 早餐,91,信用卡,蛋餅
2020-02-19,支出,餐飲 > 午餐,217,信用卡,義大利麵
2020-02-19,支出,餐飲 > 晚餐,150,現金,水餃
2020-02-19,支出,交通 > 公車/捷運,50,現金,捷運通勤
2020-02-20,支出,餐飲 > 早餐,52,現金,吐司
2020-02-20,支出,餐飲 > 晚餐,414,信用卡,鹹酥雞
2020-02-20,支出,交通 > 公車/捷運,32,現金,悠遊卡儲值
2020-02-21,支出,餐飲 > 飲料,80,現金,美式咖啡
2020-02-21,支出,交通 > 公車/捷運,32,現金,悠遊卡儲值
2020-02-21,支出,交通 > 計程車/Uber,390,現金,Uber回家
2020-02-22,支出,居住 > 網路費,599,信用卡,中華電信網路費
2020-02-22,支出,餐飲 > 早餐,52,信用卡,豆漿店
2020-02-22,支出,餐飲 > 午餐,108,信用卡,麵店
2020-02-22,支出,餐飲 > 晚餐,411,信用卡,披薩
2020-02-22,支出,餐飲 > 飲料,121,信用卡,五十嵐
2020-02-23,支出,餐飲 > 早餐,76,現金,飯糰
2020-02-23,支出,餐飲 > 午餐,127,現金,簡餐
2020-02-23,支出,餐飲 > 晚餐,207,現金,泰式料理
2020-02-23,支出,餐飲 > 飲料,149,信用卡,拿鐵
2020-02-23,支出,交通 > 加油,1236,現金,中油加油
2020-02-24,支出,餐飲 > 早餐,99,信用卡,全家早餐
2020-02-24,支出,餐飲 > 午餐,155,信用卡,咖哩飯
2020-02-24,支出,餐飲 > 晚餐,148,信用卡,日本料理
2020-02-24,支出,交通 > 公車/捷運,50,現金,捷運
2020-02-25,支出,餐飲 > 早餐,111,現金,吐司
2020-02-25,支出,餐飲 > 午餐,172,現金,咖哩飯
2020-02-25,支出,餐飲 > 晚餐,360,現金,水餃
2020-02-25,支出,娛樂 > 電影/影音,199,信用卡,Spotify
2020-02-26,支出,餐飲 > 午餐,94,信用卡,麵店
2020-02-26,支出,餐飲 > 晚餐,313,現金,夜市小吃
2020-02-26,轉出,銀行帳戶,15000,銀行帳戶,繳信用卡費
2020-02-26,轉入,信用卡,15000,信用卡,繳信用卡費
2020-02-27,支出,餐飲 > 早餐,79,現金,吐司
2020-02-27,支出,餐飲 > 飲料,155,現金,綠茶
2020-02-28,支出,餐飲 > 午餐,176,信用卡,自助餐
2020-02-28,支出,餐飲 > 晚餐,418,現金,炒飯
2020-02-28,支出,餐飲 > 點心,98,信用卡,紅豆餅
2020-02-28,支出,交通 > 公車/捷運,30,現金,悠遊卡儲值
2020-02-29,支出,餐飲 > 早餐,83,現金,麥當勞早餐
2020-02-29,支出,餐飲 > 午餐,119,信用卡,小吃店
2020-02-29,支出,餐飲 > 點心,133,信用卡,車輪餅
2020-02-29,支出,交通 > 停車費,40,現金,路邊停車
2020-03-01,支出,居住 > 房租/房貸,15653,銀行帳戶,每月房租
2020-03-01,支出,餐飲 > 早餐,111,現金,麥當勞早餐
2020-03-01,支出,餐飲 > 午餐,182,信用卡,小吃店
2020-03-01,支出,餐飲 > 晚餐,466,現金,日本料理
2020-03-02,支出,餐飲 > 早餐,76,現金,豆漿店
2020-03-02,支出,交通 > 公車/捷運,50,現金,悠遊卡加值
2020-03-03,支出,餐飲 > 早餐,79,信用卡,吐司
2020-03-03,支出,餐飲 > 午餐,186,信用卡,麵店
2020-03-03,支出,餐飲 > 晚餐,174,信用卡,韓式料理
2020-03-04,支出,餐飲 > 早餐,52,信用卡,麥當勞早餐
2020-03-04,支出,餐飲 > 午餐,164,現金,簡餐
2020-03-04,支出,餐飲 > 飲料,83,現金,綠茶
2020-03-04,支出,交通 > 計程車/Uber,137,現金,機場計程車
2020-03-05,支出,餐飲 > 午餐,83,現金,小吃店
2020-03-05,支出,餐飲 > 飲料,157,現金,迷客夏
2020-03-05,支出,交通 > 公車/捷運,30,現金,悠遊卡加值
2020-03-06,收入,薪資,63261,銀行帳戶,2020年3月薪資
2020-03-06,支出,餐飲 > 早餐,81,信用卡,蛋餅
2020-03-06,支出,餐飲 > 午餐,200,信用卡,小吃店
2020-03-06,支出,餐飲 > 晚餐,291,現金,水餃
2020-03-06,支出,交通 > 公車/捷運,50,現金,悠遊卡加值
2020-03-07,支出,餐飲 > 早餐,66,信用卡,吐司
2020-03-07,支出,餐飲 > 午餐,166,信用卡,鐵板燒
2020-03-08,支出,餐飲 > 午餐,218,現金,義大利麵
2020-03-08,支出,餐飲 > 晚餐,118,現金,燒烤
2020-03-08,支出,餐飲 > 飲料,70,現金,星巴克
2020-03-08,支出,交通 > 計程車/Uber,358,信用卡,Uber回家
2020-03-09,支出,餐飲 > 午餐,84,現金,義大利麵
2020-03-09,支出,餐飲 > 晚餐,86,現金,夜市小吃
2020-03-09,支出,交通 > 公車/捷運,50,現金,捷運
2020-03-09,支出,購物 > 日用品,562,現金,洗髮精
2020-03-10,支出,餐飲 > 早餐,59,信用卡,三明治
2020-03-10,支出,餐飲 > 午餐,181,現金,牛肉麵
2020-03-10,支出,購物 > 日用品,447,現金,牙膏
2020-03-10,支出,購物 > 服飾,2930,信用卡,洋裝
2020-03-11,支出,餐飲 > 早餐,39,現金,飯糰
2020-03-11,支出,餐飲 > 午餐,221,信用卡,便當
2020-03-11,支出,餐飲 > 晚餐,439,現金,熱炒
2020-03-12,支出,餐飲 > 早餐,62,信用卡,豆漿店
2020-03-12,支出,餐飲 > 午餐,99,信用卡,義大利麵
2020-03-12,支出,餐飲 > 晚餐,96,現金,涮涮鍋
2020-03-12,支出,餐飲 > 飲料,88,現金,迷客夏
2020-03-13,支出,餐飲 > 早餐,104,信用卡,飯糰
2020-03-13,支出,餐飲 > 午餐,115,現金,義大利麵
2020-03-13,支出,餐飲 > 晚餐,257,現金,熱炒
2020-03-13,支出,交通 > 公車/捷運,65,現金,悠遊卡加值
2020-03-13,支出,交通 > 停車費,50,現金,醫院停車
2020-03-13,支出,娛樂 > 電影/影音,299,現金,Disney+
2020-03-14,支出,餐飲 > 早餐,83,信用卡,美而美早餐
2020-03-14,支出,餐飲 > 午餐,249,信用卡,自助餐
2020-03-14,支出,餐飲 > 晚餐,231,現金,披薩
2020-03-14,支出,餐飲 > 飲料,103,現金,美式咖啡
2020-03-14,支出,娛樂 > 遊戲,1260,信用卡,Steam遊戲
2020-03-15,支出,餐飲 > 早餐,74,信用卡,三明治
2020-03-15,支出,餐飲 > 午餐,106,現金,自助餐
2020-03-15,支出,餐飲 > 晚餐,309,信用卡,熱炒
2020-03-15,支出,餐飲 > 飲料,125,現金,五十嵐
2020-03-16,支出,餐飲 > 早餐,106,現金,燒餅油條
2020-03-16,支出,餐飲 > 午餐,177,現金,麵店
2020-03-16,支出,餐飲 > 晚餐,217,信用卡,日本料理
2020-03-16,支出,餐飲 > 飲料,146,信用卡,美式咖啡
2020-03-16,支出,購物 > 日用品,453,現金,保鮮膜
2020-03-17,支出,居住 > 水電費,1496,銀行帳戶,水電瓦斯費
2020-03-17,支出,餐飲 > 早餐,93,現金,美而美早餐
2020-03-17,支出,餐飲 > 午餐,181,信用卡,定食
2020-03-17,支出,餐飲 > 晚餐,491,信用卡,鹹酥雞
2020-03-17,支出,餐飲 > 飲料,69,信用卡,拿鐵
2020-03-17,支出,購物 > 日用品,279,現金,牙膏
2020-03-18,支出,餐飲 > 午餐,227,現金,牛肉麵
2020-03-18,支出,餐飲 > 晚餐,498,信用卡,自己煮
2020-03-18,支出,餐飲 > 飲料,179,現金,五十嵐
2020-03-18,支出,交通 > 公車/捷運,50,現金,悠遊卡儲值
2020-03-19,支出,居住 > 網路費,599,信用卡,中華電信網路費
2020-03-19,支出,餐飲 > 早餐,43,信用卡,蛋餅
2020-03-19,支出,餐飲 > 午餐,157,現金,滷肉飯
2020-03-19,支出,餐飲 > 晚餐,446,信用卡,燒烤
2020-03-19,支出,餐飲 > 飲料,149,信用卡,五十嵐
2020-03-19,支出,交通 > 公車/捷運,40,現金,悠遊卡加值
2020-03-19,支出,交通 > 計程車/Uber,284,現金,Uber叫車
2020-03-19,支出,醫療 > 掛號費,350,現金,眼科
2020-03-20,支出,餐飲 > 早餐,40,信用卡,三明治
2020-03-20,支出,餐飲 > 晚餐,85,現金,泰式料理
2020-03-20,支出,餐飲 > 飲料,167,現金,果汁
2020-03-20,支出,交通 > 公車/捷運,65,現金,悠遊卡加值
2020-03-21,支出,餐飲 > 午餐,116,信用卡,滷肉飯
2020-03-21,支出,餐飲 > 晚餐,481,現金,夜市小吃
2020-03-21,支出,購物 > 家電,13384,信用卡,吸塵器
2020-03-22,支出,餐飲 > 午餐,167,現金,雞腿飯
2020-03-23,支出,餐飲 > 早餐,86,現金,美而美早餐
2020-03-23,支出,餐飲 > 午餐,190,信用卡,便當
2020-03-23,支出,餐飲 > 晚餐,181,信用卡,水餃
2020-03-23,支出,餐飲 > 點心,57,現金,可頌
2020-03-23,轉出,銀行帳戶,10000,銀行帳戶,提款
2020-03-23,轉入,現金,10000,現金,提款
2020-03-24,支出,餐飲 > 早餐,76,現金,蛋餅
2020-03-24,支出,餐飲 > 午餐,205,信用卡,咖哩飯
2020-03-24,支出,餐飲 > 晚餐,280,現金,自己煮
2020-03-24,支出,餐飲 > 飲料,152,現金,清心
2020-03-24,支出,交通 > 公車/捷運,65,現金,悠遊卡加值
2020-03-24,支出,教育 > 書籍,710,信用卡,語言學習書
2020-03-25,支出,餐飲 > 早餐,53,信用卡,飯糰
2020-03-25,支出,餐飲 > 午餐,227,信用卡,拉麵
2020-03-25,支出,餐飲 > 晚餐,405,現金,夜市小吃
2020-03-25,支出,餐飲 > 飲料,108,現金,路易莎咖啡
2020-03-25,支出,交通 > 公車/捷運,16,現金,公車
2020-03-26,支出,餐飲 > 早餐,118,信用卡,飯糰
2020-03-26,支出,餐飲 > 午餐,186,信用卡,簡餐
2020-03-26,支出,餐飲 > 晚餐,369,現金,燒烤
2020-03-26,支出,交通 > 公車/捷運,50,現金,公車
2020-03-27,支出,餐飲 > 早餐,49,現金,豆漿店
2020-03-27,支出,餐飲 > 午餐,173,現金,鐵板燒
2020-03-27,支出,餐飲 > 晚餐,359,現金,滷味
2020-03-27,支出,餐飲 > 飲料,98,信用卡,手搖飲
2020-03-27,支出,交通 > 公車/捷運,20,現金,捷運
2020-03-28,支出,餐飲 > 午餐,236,信用卡,麵店
2020-03-28,支出,餐飲 > 晚餐,481,現金,涮涮鍋
2020-03-28,支出,餐飲 > 飲料,50,信用卡,可不可
2020-03-29,支出,餐飲 > 早餐,100,現金,美而美早餐
2020-03-29,支出,餐飲 > 晚餐,110,信用卡,涮涮鍋
2020-03-30,收入,稿費,5248,銀行帳戶,部落格稿費
2020-03-30,支出,餐飲 > 午餐,116,信用卡,雞腿飯
2020-03-30,支出,餐飲 > 晚餐,311,現金,炒飯
2020-03-30,支出,交通 > 公車/捷運,32,現金,公車
2020-03-31,支出,餐飲 > 午餐,197,信用卡,定食
2020-03-31,支出,餐飲 > 晚餐,353,信用卡,韓式料理
2020-03-31,支出,交通 > 公車/捷運,35,現金,公車
2020-04-01,支出,居住 > 房租/房貸,16470,銀行帳戶,每月房租
2020-04-01,支出,居住 > 管理費,2065,銀行帳戶,社區管理費
2020-04-01,支出,餐飲 > 早餐,41,現金,全家早餐
2020-04-01,支出,餐飲 > 午餐,197,現金,自助餐
2020-04-01,支出,餐飲 > 飲料,151,現金,美式咖啡
2020-04-02,支出,餐飲 > 早餐,118,信用卡,豆漿店
2020-04-02,支出,餐飲 > 午餐,250,現金,便當
2020-04-02,支出,餐飲 > 晚餐,236,現金,滷味
2020-04-02,支出,交通 > 公車/捷運,48,現金,悠遊卡儲值
2020-04-02,支出,交通 > 高鐵/火車,765,信用卡,高鐵自由座
2020-04-03,支出,餐飲 > 早餐,96,現金,麥當勞早餐
2020-04-03,支出,餐飲 > 午餐,106,現金,牛肉麵
2020-04-03,支出,餐飲 > 晚餐,233,現金,滷味
2020-04-03,支出,交通 > 公車/捷運,25,現金,悠遊卡儲值
2020-04-03,支出,交通 > 加油,836,信用卡,加滿95
2020-04-04,收入,薪資,56224,銀行帳戶,2020年4月薪資
2020-04-04,支出,餐飲 > 早餐,87,信用卡,麥當勞早餐
2020-04-04,支出,餐飲 > 午餐,105,現金,鐵板燒
2020-04-04,支出,餐飲 > 晚餐,453,信用卡,自己煮
2020-04-05,支出,餐飲 > 早餐,112,信用卡,7-11早餐
2020-04-05,支出,餐飲 > 午餐,248,信用卡,小吃店
2020-04-05,支出,餐飲 > 晚餐,340,現金,披薩
2020-04-05,支出,餐飲 > 飲料,48,現金,果汁
2020-04-05,支出,娛樂 > 旅遊,1435,信用卡,露營
2020-04-06,支出,餐飲 > 早餐,81,信用卡,美而美早餐
2020-04-06,支出,餐飲 > 午餐,225,信用卡,牛肉麵
2020-04-06,支出,餐飲 > 晚餐,168,信用卡,燒烤
2020-04-06,支出,餐飲 > 飲料,52,現金,綠茶
2020-04-07,支出,餐飲 > 午餐,182,現金,雞腿飯
2020-04-07,支出,餐飲 > 晚餐,395,現金,泰式料理
2020-04-07,支出,餐飲 > 飲料,55,現金,路易莎咖啡
2020-04-07,支出,交通 > 公車/捷運,20,現金,公車
2020-04-08,支出,餐飲 > 早餐,90,現金,蛋餅
2020-04-08,支出,餐飲 > 午餐,94,信用卡,雞腿飯
2020-04-08,支出,餐飲 > 晚餐,459,現金,熱炒
2020-04-08,支出,餐飲 > 飲料,70,現金,路易莎咖啡
2020-04-08,支出,交通 > 公車/捷運,50,現金,公車
2020-04-09,支出,餐飲 > 午餐,87,信用卡,鐵板燒
2020-04-09,支出,餐飲 > 晚餐,348,現金,泰式料理
2020-04-09,支出,交通 > 公車/捷運,48,現金,悠遊卡加值
2020-04-10,支出,餐飲 > 早餐,48,現金,麥當勞早餐
2020-04-10,支出,餐飲 > 午餐,80,現金,定食
2020-04-10,支出,餐飲 > 飲料,155,信用卡,美式咖啡
2020-04-10,支出,交通 > 公車/捷運,16,現金,悠遊卡加值
2020-04-10,轉出,銀行帳戶,1000,銀行帳戶,提款
2020-04-10,轉入,現金,1000,現金,提款
2020-04-11,支出,餐飲 > 早餐,75,信用卡,全家早餐
2020-04-11,支出,餐飲 > 午餐,110,現金,麵店
2020-04-11,支出,餐飲 > 晚餐,344,現金,滷味
2020-04-11,支出,餐飲 > 飲料,154,信用卡,綠茶
2020-04-11,支出,交通 > 加油,910,信用卡,全國加油站
2020-04-11,轉出,銀行帳戶,3000,銀行帳戶,繳信用卡費
2020-04-11,轉入,信用卡,3000,信用卡,繳信用卡費
2020-04-12,支出,餐飲 > 早餐,82,信用卡,麥當勞早餐
2020-04-12,支出,餐飲 > 午餐,219,現金,麵店
2020-04-12,支出,餐飲 > 晚餐,289,現金,韓式料理
2020-04-12,支出,交通 > 加油,1186,現金,加油
